author,gender,birth_place,ethnicity,movement,education,notable_works,wiki_genre,awards,DOB,DOD,in_links,categories,summaries,average_rating,number_of_ratings,number_of_reviews,genre1,genre2,genre3
Amiri Baraka,male,Newark,African American,Beat Generation,"['Howard University', 'Columbia University', 'Rutgers University', 'New School', 'Barringer High School']",['Somebody Blew Up America'],Not Known,"['Guggenheim Fellowship', 'Langston Hughes Medal', 'National Endowment for the Arts Fellowship', 'American Book Awards', 'Black Literary Hall of Fame']",1934,2014,"['Al Young', 'Alice McDermott', 'Ana Castillo', 'Chang-Rae Lee', 'Chitra Banerjee Divakaruni', 'Don DeLillo', 'Edwidge Danticat', 'Gary Soto', 'Gerald Vizenor', 'Gilbert Sorrentino', 'Gloria Naylor', 'Isabel Allende', 'Ishmael Reed', 'J. California Cooper', 'Jack Kerouac', 'James Baldwin (writer)', 'Jessica Hagedorn', 'John A. Williams', 'John Edgar Wideman', 'Josip Novakovich', 'Karen Tei Yamashita', 'Langston Hughes', 'Leslie Marmon Silko', 'Louise Erdrich', 'Luís Alberto Urrea', 'May Sarton', 'Norman Mailer', 'Paule Marshall', 'Ralph Ellison', 'Raymond Federman', 'Ronald Sukenick', 'Rudolfo Anaya', 'Russell Banks', 'Sandra Cisneros', 'Sandra Scofield', 'Sherman Alexie', 'Terry McMillan', 'Toni Cade Bambara', 'Toni Morrison', 'Trey Ellis', 'William H. Gass', 'William Kennedy (author)', 'William S. Burroughs']","['20th-century short story writers', 'African-American short story writers', 'American Book Award winners', 'American short story writers', 'Beat Generation writers', 'Black Arts Movement writers', 'Jazz writers', 'Writers from Newark, New Jersey']","Amiri Baraka (born Everett LeRoi Jones; October 7, 1934 – January 9, 2014), previously known as LeRoi Jones and Imamu Amear Baraka, was an American writer of poetry, drama, fiction, essays and music criticism. He was the author of numerous books of poetry and taught at several universities, including the University at Buffalo and Stony Brook University. He received the PEN/Beyond Margins Award in 2008 for Tales of the Out and the Gone.Baraka's career spanned nearly 52 years, and his themes range from black liberation to white racism. Some poems that are always associated with him are ""The Music: Reflection on Jazz and Blues"", ""The Book of Monk"", and ""New Music, New Poetry"", works that draw on topics from the worlds of society, music, and literature. Baraka's poetry and writing have attracted both high praise and condemnation. In the African-American community, some compare Baraka to James Baldwin and recognize him as one of the most respected and most widely published black writers of his generation. Others have said his work is an expression of violence, misogyny, and homophobia. Regardless of one's viewpoint, Baraka's plays, poetry, and essays have been described by scholars as constituting defining texts for African-American culture.Baraka's brief tenure as Poet Laureate of New Jersey (in 2002 and 2003) involved controversy over a public reading of his poem ""Somebody Blew Up America?"", which resulted in accusations of anti-Semitism and negative attention from critics and politicians.",4.03,"10,982",756,Poetry,Theater,Nonfiction
Tom Barbash,male,Not Known,Not Known,Not Known,['Stanford University'],Not Known,Not Known,Not Known,1950,Alive,"['Chuck Palahniuk', 'James Ellroy', 'Jonathan Franzen', 'Mary Gaitskill']","['21st-century American male writers', '21st-century American novelists', '21st-century American short story writers', 'American male novelists', 'American male short story writers', ""Iowa Writers' Workshop alumni"", 'Novelists from Washington (state)', 'Writers from San Francisco']","Tom Barbash is an American writer of fiction and nonfiction, as well as an educator and critic. He is the author of the novel The Last Good Chance, a collection of short stories Stay Up With Me, and the bestselling nonfiction work On Top of the World: Cantor Fitzgerald, Howard Lutnick & 9/11: A Story of Loss & Renewal. His fiction has been published in Tin House, Story magazine, The Virginia Quarterly Review and The Indiana Review. His criticism has appeared in the New York Times and the San Francisco Chronicle.
A well-regarded speaker, panelist, and interviewer, Barbash has served as host for onstage events for The Commonwealth Club, Litquake, BookPassage, and the Lannan Foundation, and his interview subjects have included Kazuo Ishiguro, Brett Easton Ellis, Jonathan Franzen, Carlos Ruiz Zafon, James Ellroy, Ann Packer, Mary Gaitskill, and Chuck Palahniuk.He taught at Stanford University, where he was a Stegner Fellow, and now teaches novel writing, short fiction, and nonfiction, at the California College of the Arts. Barbash has held fellowships from the MacDowell Colony, Yaddo, The James Michener Foundation, and the National Endowment for the Arts. He lives in the San Francisco Bay Area.",3.6,"4,427",695,Fiction,Nonfiction,N/A
Anna Maynard Barbour,female,Mansfield,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1941,[],"['20th-century American novelists', '20th-century American women writers', 'American mystery writers', 'American women novelists', 'Novelists from New York (state)', 'Women mystery writers']","Anna Maynard Barbour (died May 10, 1941) was an American author of best-selling fiction. A 1903 article in The Atlantic Monthly stated that ""A. Maynard Barbour has been generally hailed as the most successful of American writers of mystery.""",3.47,94,19,Mystery,N/A,N/A
John Franklin Bardin,male,Cincinnati,Not Known,Not Known,['University of Cincinnati'],Not Known,Not Known,Not Known,1916,1981,['Henry James'],"['20th-century American male writers', '20th-century American novelists', 'American crime fiction writers', 'American male novelists', 'Novelists from Ohio', 'Writers from Cincinnati']","John Franklin Bardin (November 30, 1916 – July 9, 1981) was an American crime writer, best known for three novels he wrote between 1946 and 1948.

",3.7,"1,070",156,Mystery & Thrillers,Horror,Literature & Fiction
Brad Barkley,male,Not Known,Not Known,Not Known,"['University of Arkansas', 'University of North Carolina at Greensboro']",Not Known,Not Known,Not Known,Not Known,Alive,[],['American fiction writer stubs'],"Brad Barkley is an American short fiction writer, novelist, young adult novelist and a professor at Frostburg State University in Maryland.He has received four Individual Artist Awards from the Maryland State Arts Council, and a creative writing fellowship from the National Endowment for the Arts. He is the author of the novels Money, Love (Norton) and Alison's Automotive Repair Manual (St. Martins), as well as two short-story collections and three Young Adult novels.  His short fiction has appeared in such magazines as Glimmer Train, the Southern Review, and The Oxford American.  He also writes and publishes on the sport of hang gliding.",3.74,"6,623",674,Literature & Fiction,Young Adult,N/A
Djuna Barnes,female,Cornwall-on-Hudson,Not Known,Not Known,"['Pratt Institute', 'Art Students League of New York']","['Ladies Almanack', 'Nightwood', 'The Book of Repulsive Women']",Not Known,Not Known,1892,1982,"['Anaïs Nin', 'Bertha Harris', 'Carson McCullers', 'David Foster Wallace', 'John Hawkes (novelist)', 'Theodore Dreiser', 'Truman Capote', 'William Goyen']","['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', 'American women non-fiction writers', 'American women novelists', 'Bisexual writers', 'LGBT novelists', 'LGBT writers from the United States', 'Modernist women writers', 'Modernist writers', 'Novelists from New York (state)', 'Women erotica writers']","Djuna Barnes (, June 12, 1892 – June 18, 1982) was an American artist, illustrator, journalist, and writer who is perhaps best known for her novel Nightwood (1936), a cult classic of lesbian fiction and an important work of modernist literature.In 1913, Barnes began her career as a freelance journalist and illustrator for the Brooklyn Daily Eagle. By early 1914, Barnes was a highly sought feature reporter, interviewer, and illustrator whose work appeared in the city's leading newspapers and periodicals. Later, Barnes' talent and connections with prominent Greenwich Village bohemians afforded her the opportunity to publish her prose, poems, illustrations, and one-act plays in both avant-garde literary journals and popular magazines, and publish an illustrated volume of poetry, The Book of Repulsive Women (1915).In 1921, a lucrative commission with McCall's took Barnes to Paris, where she lived for the next 10 years. In this period she published A Book (1923), a collection of poetry, plays, and short stories, which was later reissued, with the addition of three stories, as A Night Among the Horses (1929), Ladies Almanack (1928), and Ryder (1928).During the 1930s, Barnes spent time in England, Paris, New York, and North Africa. It was during this restless time that she wrote and published Nightwood. In October 1939, after nearly two decades living mostly in Europe, Barnes returned to New York. She published her last major work, the verse play The Antiphon, in 1958, and she died in her apartment at Patchin Place, Greenwich Village in June 1982.",3.65,"12,635","1,324",Literature & Fiction,Gay & Lesbian,N/A
Linda Barnes,female,Detroit,Not Known,Not Known,"['Boston University', 'Boston University College of Fine Arts']",Not Known,Not Known,['Anthony Award'],1949,Alive,"['Sara Paretsky', 'Sue Grafton']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American crime fiction writers', 'American women novelists', 'Novelists from Michigan', 'Women mystery writers', 'Writers from Detroit']","Linda Barnes (born December 6, 1949) is an American mystery writer.",3.79,"22,966","1,685",Mystery & Thrillers,N/A,N/A
Margaret Ayer Barnes,female,Chicago,Not Known,Not Known,['Bryn Mawr College'],Not Known,Not Known,Not Known,1886,1967,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ellen Glasgow', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Herman Wouk', 'James A. Michener', 'James Agee', 'James Gould Cozzens', 'Jane Smiley', 'Janet Ayer Fairbank', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Julia Peterkin', 'Katherine Anne Porter', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Shirley Ann Grau', 'Sinclair Lewis', 'Steven Millhauser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Upton Sinclair', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', 'American women novelists', 'American women short story writers', 'Novelists from Illinois', 'Pulitzer Prize for the Novel winners', 'Writers from Chicago']","Margaret Ayer Barnes (April 8, 1886, Chicago, Illinois – October 25, 1967, Cambridge, Massachusetts) was an American playwright, novelist, and short-story writer. She was awarded the Pulitzer Prize.",3.73,955,63,N/A,N/A,N/A
Steven Barnes,male,Los Angeles,African American,Not Known,['Pepperdine University'],Not Known,science fiction,Not Known,1952,Alive,"['Jerry Pournelle', 'Larry Niven', 'Robert Silverberg']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', '21st-century American novelists', 'African-American novelists', 'African-American screenwriters', 'Afrofuturist writers', 'American comics writers', 'American male novelists', 'American male screenwriters', 'American male television writers', 'American science fiction writers', 'American television writers']","Steven Barnes (born March 1, 1952) is an American science fiction, fantasy, and mystery writer. He has written novels, short fiction, screen plays for television, scripts for comic books, animation, newspaper copy, and magazine articles.

",3.82,"39,834","2,714",Historical Fiction,Science Fiction & Fantasy,N/A
Wilton Barnhardt,male,Not Known,Not Known,Not Known,"['Brasenose College', 'Michigan State University']",Not Known,Not Known,Not Known,1960,Alive,[],"['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'American novelist, 1960s birth stubs', 'Novelists from North Carolina']","Wilton Barnhardt (born 1960) is a former reporter for Sports Illustrated and is the author of Emma Who Saved My Life (1989), Gospel (1993), Show World (1999), and Lookaway, Lookaway (2013).
Barnhardt took his B.A. at Michigan State University, and was a graduate student at Brasenose College, University of Oxford, where he read for an M.Phil. in English. He teaches fiction-writing to undergraduate and graduate students at the North Carolina State University in Raleigh, where he is a faculty member in the Master of Fine Arts program in Creative Writing.

",3.41,"4,408",776,Fiction,N/A,N/A
Amelia Edith Huddleston Barr,female,Ulverston,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1831,1919,[],"['19th-century English novelists', '19th-century English women writers', 'English women non-fiction writers', 'English women novelists']","Amelia Edith Huddleston Barr (March 29, 1831 – March 10, 1919) was a British novelist and teacher. Many of the plots of her stories are laid in Scotland and England. The scenes are from her girlhood recollection of surroundings. Her works include, Jan Vedder's Wife, A Border Shepherdess, Feet of Clay, Friend Olivia, The Bow of Orange Ribbon, Remember the Alamo, She Loved a Sailor, A Daughter of Fife, The Squire of Sanddal Side, Paul and Christina, Master of His Fate, The Household of McNeil, The Last of the Macallisters, Between Two Loves, A Sister to Esau, A Rose of a Hundred Leaves, A Singer from the Sea, The Beads of Tasmer, The Hallam Succession, The Lone House, Christopher and Other Stories, The Lost Silver of Briffault.",0,0,0,N/A,N/A,N/A
Nevada Barr,female,Yerington,Not Known,Not Known,"['University of California, Irvine']",Not Known,Not Known,['Anthony Award'],1952,Alive,"['Aaron Elkins', 'Charlaine Harris', 'Charlotte MacLeod', 'Elizabeth George', 'Emma Lathen', 'Laura Lippman', 'Laurie R. King', 'Margaret Maron', 'Mary Higgins Clark', 'Mignon G. Eberhart', 'Phyllis A. Whitney', 'Sara Paretsky', 'Sharyn McCrumb', 'Sue Grafton', 'Tony Hillerman']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American mystery writers', 'American women novelists', 'Novelists from California', 'Novelists from Louisiana', 'Novelists from Mississippi', 'Women mystery writers', 'Writers from Nevada', 'Writers from New Orleans']","Nevada Barr (born March 1, 1952) is an American author of mystery fiction. She is known for her Anna Pigeon series, which is primarily set in a series of national parks and other protected areas of the United States.",3.85,"159,660","13,729",Mystery & Thrillers,Literature & Fiction,Gay & Lesbian
Stringfellow Barr,male,Suffolk,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1897,1982,[],"['20th-century American male writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'Novelists from Maryland', 'Novelists from New Jersey', 'Novelists from Virginia']","Stringfellow Barr (January 15, 1897, in Suffolk, Virginia – February 3, 1982, in Alexandria, Virginia) was a historian, author, and former president of St. John's College in Annapolis, Maryland, where he, together with Scott Buchanan, instituted the Great Books curriculum.",3.84,61,13,N/A,N/A,N/A
Andrea Barrett,female,Boston,Not Known,Not Known,['Union College'],Not Known,Not Known,"['Guggenheim Fellowship', 'MacArthur Fellows Program', 'National Book Award', 'National Book Award for Fiction', 'O. Henry Award']",1954,Alive,"['Alice McDermott', 'Alice Walker', 'Charles Frazier', 'Charles R. Johnson', 'Cormac McCarthy', 'Don DeLillo', 'E. L. Doctorow', 'Ellen Gilchrist', 'Eudora Welty', 'Ha Jin', 'John Casey (novelist)', 'John Cheever', 'John Irving', 'John Updike', 'Larry Heinemann', 'Mary Lee Settle', 'Norman Rush', 'Pete Dexter', 'Philip Roth', 'Robert Stone (novelist)', 'Thomas Williams (writer)', ""Tim O'Brien (author)"", 'Wallace Stegner', 'William Faulkner', 'William Gaddis', 'William Keepers Maxwell, Jr.', 'William Styron', 'Wright Morris']","['20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', '21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', 'American women novelists', 'American women short story writers', 'National Book Award winners', 'Novelists from Massachusetts', 'Writers from Boston']","Andrea Barrett (born November 16, 1954) is an American novelist and short story writer. Her collection Ship Fever won the 1996 U.S. National Book Award for Fiction, and she received a MacArthur Fellowship in 2001. Her book Servants of the Map was a finalist for the 2003 Pulitzer Prize for Fiction, and Archangel was a finalist for the 2013 Story Prize.

",3.87,"13,597","1,812",Literature & Fiction,N/A,N/A
John Barth,male,Cambridge,Not Known,Not Known,"['Juilliard School', 'Johns Hopkins University']",Not Known,Not Known,"['National Book Award', 'PEN/Malamud Award', 'National Book Award for Fiction', 'AAAS Fellow']",1930,Alive,"['Bernard Malamud', 'Conrad Richter', 'F. Scott Fitzgerald', ""Flannery O'Connor"", 'Isaac Bashevis Singer', 'J. F. Powers', 'James Jones (author)', 'John Cheever', 'John Edward Williams', ""John O'Hara"", 'John Updike', 'Joyce Carol Oates', 'Katherine Anne Porter', 'Nelson Algren', 'Philip Roth', 'Ralph Ellison', 'Saul Bellow', 'Thomas Pynchon', 'Thornton Wilder', 'Walker Percy', 'William Faulkner', 'Wright Morris']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', '21st-century American novelists', 'American male novelists', 'American male short story writers', 'American short story writers', 'National Book Award winners', 'Novelists from Maryland', 'Novelists from Massachusetts', 'Novelists from New York (state)', 'Novelists from Pennsylvania', 'Postmodern writers']","John Simmons Barth (; born May 27, 1930) is an American writer who is best known for his postmodernist and metafictional fiction.",3.88,"29,025","2,193",Fiction,Literary Criticism,N/A
Donald Barthelme,male,Philadelphia,Not Known,Not Known,"['University at Buffalo', 'University of Houston']",Not Known,Not Known,['Guggenheim Fellowship'],1931,1989,"['Ann Beattie', 'Frederick Barthelme', 'Gertrude Stein', 'John Barth', 'Joyce Carol Oates', 'Rick Moody', 'Thomas Pynchon', 'Walker Percy', 'William H. Gass']","['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', '20th-century American short story writers', 'American male non-fiction writers', 'American male novelists', 'American male short story writers', ""National Book Award for Young People's Literature winners"", 'Novelists from Texas', 'Postmodern writers']","Donald Barthelme (April 7, 1931 – July 23, 1989) was an American short story writer and novelist known for his playful, postmodernist style of short fiction. Barthelme also worked as a newspaper reporter for the Houston Post, was managing editor of Location magazine, director of the Contemporary Arts Museum in Houston (1961–1962), co-founder of Fiction (with Mark Mirsky and the assistance of Max and Marianne Frisch), and a professor at various universities. He also was one of the original founders of the University of Houston Creative Writing Program.",3.95,"25,968","2,242",Literature & Fiction,Nonfiction,N/A
Frederick Barthelme,male,Houston,Not Known,Not Known,['Johns Hopkins University'],Not Known,Not Known,Not Known,1943,Alive,"['Ann Beattie', 'Donald Barthelme', 'John Barth', 'Larry Brown (author)', 'Mary Robison', 'Rick Moody']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', '21st-century American male writers', '21st-century American novelists', '21st-century American short story writers', 'American male novelists', 'American male short story writers', 'Minimalist writers', 'Novelists from Mississippi']","Fredrick Barthelme (born October 10, 1943) is an American novelist and short story writer, well known as one of the seminal writers of minimalist fiction. Alongside his personal publishing history, his position as Director of The Center For Writers at The University of Southern Mississippi 
and Editor of the nationally prominent literary journal Mississippi Review (1977 - 2010) have placed him at the forefront of the contemporary American literary scene. He is currently the editor of New World Writing (formerly Blip Magazine)",3.59,"2,213",322,Short Stories,N/A,N/A
Nalbro Bartley,female,Buffalo,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1888,1952,[],"['20th-century American women writers', '20th-century American writers', 'American women novelists', 'Novelists from New York (state)', 'Writers from Buffalo, New York']","Nalbro Isadorah Bartley (November 10, 1888 – September 7, 1952), was an American short story writer, newspaper columnist and lecturer. Her serialized stories began appearing in popular magazines of the day while she was still in her early twenties.",2.83,6,4,N/A,N/A,N/A
Fredrick Barton,male,Not Known,Not Known,Not Known,"['Valparaiso University', 'University of California, Los Angeles', 'University of Iowa']",Not Known,Not Known,"['doctor honoris causa', 'William Faulkner – William Wisdom Creative Writing Competition']",Not Known,Alive,[],"['21st-century American novelists', 'Novelists from Louisiana']","Fredrick Barton (aka, Rick Barton) is an American novelist and well-known New Orleans film critic. He is the author of five novels: The El Cholo Feeling Passes, Courting Pandemonium, With Extreme Prejudice (reissued as Black and White on the Rocks), A House Divided and In the Wake of the Flagship. He has also published a book of essays on “faith, love, politics and movies” titled Rowing to Sweden.Barton holds a BA from Valparaiso University, an M.A. from UCLA, an MFA from the University of Iowa, and an honorary Ph.D. from Valparaiso University. He was the founding director of the MFA program in Creative Writing at the University of New Orleans, where he also served as Dean of Liberal Arts and Provost and Vice Chancellor for Academic Affairs and now serves as Writer in Residence. Barton lives in New Orleans.",3.83,82,12,N/A,N/A,N/A
Rick Bass,male,Fort Worth,Not Known,Not Known,['Utah State University'],Not Known,Not Known,['Guggenheim Fellowship'],1958,Alive,"['George Saunders', 'Mary Gordon (writer)']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', '21st-century American male writers', '21st-century American novelists', '21st-century American short story writers', 'American male novelists', 'American male short story writers', 'American nature writers', 'Novelists from Texas', 'Novelists from Utah', 'Writers from Montana']","Rick Bass (born March 7, 1958) is an American writer and an environmental activist.",3.98,"15,211","1,783",Literature & Fiction,Outdoors & Nature,N/A
Sara Ware Bassett,female,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1872,1968,[],"['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American women writers', 'American women non-fiction writers', 'American women novelists', 'Novelists from Massachusetts']","Sara Ware Bassett (1872 – July 18, 1968) was an American author of fiction and nonfiction. Her novels primarily deal with New England characters, and most of them are set in two fictional Cape Cod villages she created, Belleport and Wilton. Her first novel, Mrs. Christy's Bridge Party, was published in 1907. She subsequently wrote more than 40 additional novels, continuing to write and publish into the late 1950s. Many of her novels focus on love stories and humorously eccentric characters. A number of her works are available as free e-books. Two of her novels, The Taming of Zenas Henry (1915) and The Harbor Road (1919), were adapted as the motion pictures Captain Hurricane (1935) and Danger Ahead (1921).
For much of her life, Bassett divided her time between homes in Cape Cod and Princeton, Massachusetts. She also taught kindergarten in the public schools of Newton, Massachusetts.She died in Newton Centre, Massachusetts on July 18, 1968.",3.35,92,13,Literature & Fiction,Childrens Books,N/A
Hamilton Basso,male,New Orleans,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1904,1964,[],"['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'American novelist, 20th-century birth stubs', 'Novelists from Louisiana']","Joseph Hamilton Basso (September 5, 1904 – May 13, 1964) was an American novelist and journalist.
Born in New Orleans, Louisiana, Basso worked as reporter for several newspapers in New Orleans, wrote 11 novels, primarily about the South and was an associate editor at The New Yorker for more than 20 years. His best-known work is the novel The View from Pompey's Head, a story of a New York City attorney who returns to his Southern hometown in the early 1950s to investigate a mystery surrounding a famous writer. The book spent almost a year on the bestseller lists in 1954.

",3.81,129,17,History,Nonfiction,Biography
Harriet Bates,female,Quincy,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1856,1886,[],"['19th-century American novelists', '19th-century American women writers', 'American women novelists', 'Novelists from Illinois', 'Pseudonymous women writers', 'Pseudonymous writers']","Harriet Bates (pen name, Eleanor Putnam; July 30, 1856 – March 1886) was a 19th-century American author of poetry and novels.",0,0,0,N/A,N/A,N/A
L. Frank Baum,male,Chittenango,Not Known,Not Known,Not Known,['The Wonderful Wizard of Oz'],Not Known,Not Known,1856,1919,['Gregory Maguire'],"['19th-century American novelists', '19th-century male writers', '20th-century American male writers', '20th-century American novelists', ""American children's writers"", 'American fantasy writers', 'American feminist writers', 'American male non-fiction writers', 'American male novelists', 'American male short story writers', 'Male novelists', 'Novelists from Illinois', 'Pseudonymous writers', 'Writers from Chicago', 'Writers from Syracuse, New York']","Lyman Frank Baum (; May 15, 1856 – May 6, 1919) was an American author known for his children's books, particularly The Wonderful Wizard of Oz and its sequels. He wrote 14 novels in the Oz series, plus 41 other novels (not including four lost, unpublished novels), 83 short stories, over 200 poems, and at least 42 scripts. He made numerous attempts to bring his works to the stage and screen; the 1939 adaptation of the first Oz book became a landmark of 20th-century cinema.
Born and raised in upstate New York, Baum moved west after an unsuccessful stint as a theater producer and playwright.  He and his wife opened a store in South Dakota and he edited and published a newspaper.  They then moved to Chicago, where he worked as a newspaper reporter and published children's literature, coming out with the first Oz book in 1900.  While continuing his writing, among his final projects he sought to establish a movie studio focused on children's films in Los Angeles, California.
His works anticipated such later commonplaces as television, augmented reality, laptop computers (The Master Key), wireless telephones (Tik-Tok of Oz), women in high-risk and action-heavy occupations (Mary Louise in the Country), and the ubiquity of clothes advertising (Aunt Jane's Nieces at Work).",3.95,"610,546","24,999",Childrens Books,Fantasy,Fiction
Beth Ann Bauman,female,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Alive,[],"['21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', ""American children's writers"", 'American novelist stubs', ""American women children's writers"", 'American women novelists', 'American women short story writers', 'American young adult novelists', 'Novelists from New York (state)', 'Women writers of young adult literature']","Beth Ann Bauman is an American writer of fiction based in New York City. Bauman has published a collection of short stories, Beautiful Girls in 2003 (MacAdam/Cage), and a novel for young adults, Rosie and Skate in 2009. Her work has been published in The Barcelona Review and the anthology Many Lights in Many Windows and has also been nominated for a Pushcart Prize. She has also received fellowships from the New York Foundation of the Arts and the Jerome Foundation.",3.33,"1,176",302,N/A,N/A,N/A
Richard Bausch,male,Fort Benning,Not Known,Not Known,"['University of Iowa', 'George Mason University']",Not Known,Not Known,['PEN/Malamud Award'],1945,Alive,"['R. V. Cassill', 'Robert Bausch']","['20th-century American male writers', '20th-century American non-fiction writers', '20th-century American novelists', '20th-century American short story writers', '21st-century American male writers', '21st-century American non-fiction writers', '21st-century American novelists', '21st-century American short story writers', 'American historical novelists', 'American male non-fiction writers', 'American male novelists', 'American male short story writers', 'American military writers', ""Iowa Writers' Workshop alumni"", 'Novelists from Georgia (U.S. state)', 'Novelists from Tennessee', 'Novelists from Virginia']","Richard Bausch (born April 18, 1945) is an American novelist and short story writer, and Professor in the Writing Program at Chapman University in Orange, California. He has published twelve novels, eight short story collections, and one volume of poetry and prose.Bausch holds a B.A. from George Mason University, and an M.F.A. from the Iowa Writers' Workshop at the University of Iowa. He joined with the writer and editor R. V. Cassill to bring out the 6th edition of The Norton Anthology of Short Fiction. Since Cassill's death in 2002, he has been the sole editor of that anthology, bringing out the 7th and 8th editions.

",3.87,"7,650",962,Literature & Fiction,Short Stories,N/A
Robert Bausch,male,Fort Benning,Not Known,Not Known,"['Northern Virginia Community College', 'George Mason University']",Not Known,Not Known,Not Known,1945,2018,['Richard Bausch'],"['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', '21st-century American male writers', '21st-century American novelists', '21st-century American short story writers', 'American male novelists', 'American male short story writers', 'Novelists from Maryland', 'Novelists from Virginia']","Robert Bausch (April 18, 1945 – October 9, 2018) was an American fiction writer, the author of nine novels and one collection of short stories. He was a Professor of English at Northern Virginia Community College, and he had taught at the University of Virginia, The American University, Johns Hopkins University, George Mason University, and the University of Maryland, Baltimore County. 
His fourth novel, A Hole in the Earth, was a New York Times Notable Book of the Year and a Washington Post Favorite Book of the Year. 
He was awarded the Fellowship of Southern Writers' award for fiction for his fifth novel, The Gypsy Man. In 2005 Harcourt published his sixth novel, Out of Season, which was a Washington Post favorite book of the year.
His novel Far as the Eye Can See was released by Bloomsbury Press in fall 2014, and in August 2016, Bloomsbury published his last novel, The Legend of Jesse Smoke.
In 2009, he was awarded the Dos Passos Prize in Literature. 
He was the twin brother of the author Richard Bausch.

",3.73,"1,775",276,Fiction,N/A,N/A
Charles Baxter,male,Minneapolis,Not Known,Not Known,"['University at Buffalo', 'Macalester College', 'Blake School']",Not Known,Not Known,"['Michigan Author Award', 'Fulbright Scholarship']",1947,Alive,"['Djuna Barnes', 'Nathanael West']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', '21st-century American male writers', '21st-century American novelists', '21st-century American short story writers', 'American book editors', 'American male novelists', 'American male short story writers', 'Novelists from Michigan', 'Novelists from Minnesota', 'Writers from Minneapolis']","Charles Morley Baxter  (born May 13, 1947) is an American novelist, essayist, and poet.",3.73,"31,340","3,416",Literature & Fiction,Short Stories,N/A
