from,to
Jill Eisenstadt,Tama Janowitz
Robert Elegant,Ward Just
Stanley Elkin,Robert Coover
Stanley Elkin,Stanley Ellin
Stanley Elkin,William Faulkner
Stanley Elkin,William H. Gass
Aaron Elkins,Charlaine Harris
Aaron Elkins,Charlotte MacLeod
Aaron Elkins,Elizabeth George
Aaron Elkins,Emma Lathen
Aaron Elkins,Laura Lippman
Aaron Elkins,Laurie R. King
Aaron Elkins,Margaret Maron
Aaron Elkins,Mary Higgins Clark
Aaron Elkins,Mignon G. Eberhart
Aaron Elkins,Nevada Barr
Aaron Elkins,Phyllis A. Whitney
Aaron Elkins,Sara Paretsky
Aaron Elkins,Sharyn McCrumb
Aaron Elkins,Sue Grafton
Aaron Elkins,Tony Hillerman
Stanley Ellin,Dashiell Hammett
Stanley Ellin,Edgar Allan Poe
Stanley Ellin,Ellery Queen
Stanley Ellin,Harry Harrison
Stanley Ellin,Lawrence Block
Stanley Ellin,Mark Twain
Stanley Ellin,Ray Bradbury
Stanley Ellin,Raymond Chandler
Stanley Ellin,Richard Matheson
Stanley Ellin,Ring Lardner
Stanley Ellin,Stanley Elkin
Stanley Ellin,William Faulkner
Bret Easton Ellis,Donna Tartt
Bret Easton Ellis,Jay McInerney
Bret Easton Ellis,Jill Eisenstadt
Bret Easton Ellis,Jonathan Lethem
Trey Ellis,Al Young
Trey Ellis,Alice McDermott
Trey Ellis,Amiri Baraka
Trey Ellis,Ana Castillo
Trey Ellis,Chang-Rae Lee
Trey Ellis,Chitra Banerjee Divakaruni
Trey Ellis,Don DeLillo
Trey Ellis,Edwidge Danticat
Trey Ellis,Gary Soto
Trey Ellis,Gerald Vizenor
Trey Ellis,Gilbert Sorrentino
Trey Ellis,Gloria Anzaldúa
Trey Ellis,Gloria Naylor
Trey Ellis,Isabel Allende
Trey Ellis,J. California Cooper
Trey Ellis,Jessica Hagedorn
Trey Ellis,John A. Williams
Trey Ellis,John Edgar Wideman
Trey Ellis,Josip Novakovich
Trey Ellis,Karen Tei Yamashita
Trey Ellis,Leslie Marmon Silko
Trey Ellis,Louise Erdrich
Trey Ellis,Luís Alberto Urrea
Trey Ellis,May Sarton
Trey Ellis,Paule Marshall
Trey Ellis,Raymond Federman
Trey Ellis,Ronald Sukenick
Trey Ellis,Rudolfo Anaya
Trey Ellis,Russell Banks
Trey Ellis,Sandra Cisneros
Trey Ellis,Sandra Scofield
Trey Ellis,Sherman Alexie
Trey Ellis,Terry McMillan
Trey Ellis,Toni Cade Bambara
Trey Ellis,Toni Morrison
Trey Ellis,William H. Gass
Trey Ellis,William Kennedy
Ralph Ellison,Bernard Malamud
Ralph Ellison,Conrad Richter
Ralph Ellison,Eudora Welty
Ralph Ellison,Flannery O'Connor
Ralph Ellison,Gertrude Stein
Ralph Ellison,Howard Nemerov
Ralph Ellison,Isaac Bashevis Singer
Ralph Ellison,J. F. Powers
Ralph Ellison,James Jones
Ralph Ellison,John Barth
Ralph Ellison,John Cheever
Ralph Ellison,John Williams
Ralph Ellison,John O'Hara
Ralph Ellison,John Updike
Ralph Ellison,Joyce Carol Oates
Ralph Ellison,Katherine Anne Porter
Ralph Ellison,Langston Hughes
Ralph Ellison,Nelson Algren
Ralph Ellison,Philip Roth
Ralph Ellison,Richard Wright
Ralph Ellison,Robert Penn Warren
Ralph Ellison,Sanora Babb
Ralph Ellison,Saul Bellow
Ralph Ellison,Thomas Pynchon
Ralph Ellison,Thornton Wilder
Ralph Ellison,Walker Percy
Ralph Ellison,William Faulkner
Ralph Ellison,Wright Morris
James Ellroy,Dashiell Hammett
James Ellroy,Joseph Wambaugh
James Ellroy,Raymond Chandler
Carol Emshwiller,Andre Norton
Carol Emshwiller,Avram Davidson
Carol Emshwiller,Chelsea Quinn Yarbro
Carol Emshwiller,Elizabeth Hand
Carol Emshwiller,Frank Belknap Long
Carol Emshwiller,Fritz Leiber
Carol Emshwiller,Gene Wolfe
Carol Emshwiller,George R. R. Martin
Carol Emshwiller,Jack Finney
Carol Emshwiller,Jack Vance
Carol Emshwiller,Jack Williamson
Carol Emshwiller,John Crowley
Carol Emshwiller,Jonathan Lethem
Carol Emshwiller,Karen Joy Fowler
Carol Emshwiller,L. Sprague de Camp
Carol Emshwiller,Lloyd Alexander
Carol Emshwiller,Madeleine L'Engle
Carol Emshwiller,Manly Wade Wellman
Carol Emshwiller,Marion Zimmer Bradley
Carol Emshwiller,Peter S. Beagle
Carol Emshwiller,Peter Straub
Carol Emshwiller,Philip José Farmer
Carol Emshwiller,R. A. Lafferty
Carol Emshwiller,Ray Bradbury
Carol Emshwiller,Richard Matheson
Carol Emshwiller,Robert Bloch
Carol Emshwiller,Stephen King
Carol Emshwiller,Stephen R. Donaldson
Carol Emshwiller,Susan Rogers Cooper
Carol Emshwiller,Terry Brooks
Carol Emshwiller,Theodore Sturgeon
Carol Emshwiller,Ursula K. Le Guin
Susan Engberg,Russell Banks
Louise Erdrich,A. B. Guthrie Jr.
Louise Erdrich,Adam Johnson
Louise Erdrich,Al Young
Louise Erdrich,Alice McDermott
Louise Erdrich,Alice Walker
Louise Erdrich,Alison Lurie
Louise Erdrich,Allen Drury
Louise Erdrich,Amiri Baraka
Louise Erdrich,Ana Castillo
Louise Erdrich,Andrew Sean Greer
Louise Erdrich,Anne Tyler
Louise Erdrich,Annie Proulx
Louise Erdrich,Barry Hughart
Louise Erdrich,Bernard Malamud
Louise Erdrich,Booth Tarkington
Louise Erdrich,Carol Shields
Louise Erdrich,Caroline Pafford Miller
Louise Erdrich,Chang-Rae Lee
Louise Erdrich,Chitra Banerjee Divakaruni
Louise Erdrich,Colson Whitehead
Louise Erdrich,Conrad Richter
Louise Erdrich,Cormac McCarthy
Louise Erdrich,Dan Simmons
Louise Erdrich,Denis Johnson
Louise Erdrich,Don DeLillo
Louise Erdrich,Donna Tartt
Louise Erdrich,Edith Wharton
Louise Erdrich,Edna Ferber
Louise Erdrich,Edward P. Jones
Louise Erdrich,Edwidge Danticat
Louise Erdrich,Edwin O'Connor
Louise Erdrich,Elizabeth Strout
Louise Erdrich,Ellen Glasgow
Louise Erdrich,Ernest Hemingway
Louise Erdrich,Ernest Poole
Louise Erdrich,Eudora Welty
Louise Erdrich,Fritz Leiber
Louise Erdrich,Gary Soto
Louise Erdrich,Gene Wolfe
Louise Erdrich,Gerald Vizenor
Louise Erdrich,Geraldine Brooks
Louise Erdrich,Gloria Anzaldúa
Louise Erdrich,Gloria Naylor
Louise Erdrich,H. L. Davis
Louise Erdrich,Harper Lee
Louise Erdrich,Herman Wouk
Louise Erdrich,Isabel Allende
Louise Erdrich,J. California Cooper
Louise Erdrich,Jack Vance
Louise Erdrich,James A. Michener
Louise Erdrich,James Agee
Louise Erdrich,James Gould Cozzens
Louise Erdrich,Jane Smiley
Louise Erdrich,Jean Stafford
Louise Erdrich,Jeffrey Eugenides
Louise Erdrich,Jennifer Egan
Louise Erdrich,Jessica Hagedorn
Louise Erdrich,Jhumpa Lahiri
Louise Erdrich,John A. Williams
Louise Erdrich,John Cheever
Louise Erdrich,John Crowley
Louise Erdrich,John Edgar Wideman
Louise Erdrich,John Hersey
Louise Erdrich,John Kennedy Toole
Louise Erdrich,John M. Ford
Louise Erdrich,John P. Marquand
Louise Erdrich,John Steinbeck
Louise Erdrich,John Updike
Louise Erdrich,Jonathan Franzen
Louise Erdrich,Josephine Winslow Johnson
Louise Erdrich,Josip Novakovich
Louise Erdrich,Julia Glass
Louise Erdrich,Julia Peterkin
Louise Erdrich,Karen Tei Yamashita
Louise Erdrich,Katherine Anne Porter
Louise Erdrich,Larry McMurtry
Louise Erdrich,Leslie Marmon Silko
Louise Erdrich,Louis Bromfield
Louise Erdrich,Luís Alberto Urrea
Louise Erdrich,MacKinlay Kantor
Louise Erdrich,Margaret Ayer Barnes
Louise Erdrich,Margaret Mitchell
Louise Erdrich,Margaret Wilson
Louise Erdrich,Marilynne Robinson
Louise Erdrich,Marjorie Kinnan Rawlings
Louise Erdrich,Martin Flavin
Louise Erdrich,May Sarton
Louise Erdrich,Michael Chabon
Louise Erdrich,Michael Cunningham
Louise Erdrich,Michael Dorris
Louise Erdrich,Michael Shaara
Louise Erdrich,N. Scott Momaday
Louise Erdrich,Norman Mailer
Louise Erdrich,Oliver La Farge
Louise Erdrich,Oscar Hijuelos
Louise Erdrich,Paul Harding
Louise Erdrich,Paule Marshall
Louise Erdrich,Pearl S. Buck
Louise Erdrich,Peter Matthiessen
Louise Erdrich,Peter Straub
Louise Erdrich,Philip Roth
Louise Erdrich,Raymond Federman
Louise Erdrich,Richard Ford
Louise Erdrich,Richard Matheson
Louise Erdrich,Richard Powers
Louise Erdrich,Richard Russo
Louise Erdrich,Robert Lewis Taylor
Louise Erdrich,Robert Olen Butler
Louise Erdrich,Robert Penn Warren
Louise Erdrich,Robert R. McCammon
Louise Erdrich,Ronald Sukenick
Louise Erdrich,Rudolfo Anaya
Louise Erdrich,Russell Banks
Louise Erdrich,Sandra Cisneros
Louise Erdrich,Sandra Scofield
Louise Erdrich,Saul Bellow
Louise Erdrich,Sherman Alexie
Louise Erdrich,Shirley Ann Grau
Louise Erdrich,Shirley Hazzard
Louise Erdrich,Sinclair Lewis
Louise Erdrich,Steven Millhauser
Louise Erdrich,Susan Sontag
Louise Erdrich,Terry McMillan
Louise Erdrich,T. S. Stribling
Louise Erdrich,Thornton Wilder
Louise Erdrich,Toni Cade Bambara
Louise Erdrich,Toni Morrison
Louise Erdrich,Trey Ellis
Louise Erdrich,Upton Sinclair
Louise Erdrich,Ursula K. Le Guin
Louise Erdrich,Wallace Stegner
Louise Erdrich,Willa Cather
Louise Erdrich,William Faulkner
Louise Erdrich,William H. Gass
Louise Erdrich,William Kennedy
Louise Erdrich,William Kotzwinkle
Louise Erdrich,William Styron
Louise Erdrich,William T. Vollmann
Steve Erickson,David Foster Wallace
Steve Erickson,Don DeLillo
Steve Erickson,Ernest Hemingway
Steve Erickson,F. Scott Fitzgerald
Steve Erickson,Flannery O'Connor
Steve Erickson,Henry Miller
Steve Erickson,Jonathan Lethem
Steve Erickson,Kathy Acker
Steve Erickson,Mark Z. Danielewski
Steve Erickson,Paul Bowles
Steve Erickson,Philip K. Dick
Steve Erickson,Philip Roth
Steve Erickson,Ralph Ellison
Steve Erickson,Raymond Chandler
Steve Erickson,Richard Powers
Steve Erickson,Rick Moody
Steve Erickson,Thomas Pynchon
Steve Erickson,Toni Morrison
Steve Erickson,William Faulkner
Steve Erickson,William Gibson
Steve Erickson,William S. Burroughs
Loren D. Estleman,Bill Pronzini
Loren D. Estleman,Owen Wister
Loren D. Estleman,Rex Stout
Jeffrey Eugenides,A. B. Guthrie Jr.
Jeffrey Eugenides,Adam Johnson
Jeffrey Eugenides,Alice Walker
Jeffrey Eugenides,Alison Lurie
Jeffrey Eugenides,Allen Drury
Jeffrey Eugenides,Andrew Sean Greer
Jeffrey Eugenides,Anne Tyler
Jeffrey Eugenides,Annie Proulx
Jeffrey Eugenides,Bernard Malamud
Jeffrey Eugenides,Booth Tarkington
Jeffrey Eugenides,Carol Shields
Jeffrey Eugenides,Caroline Pafford Miller
Jeffrey Eugenides,Colson Whitehead
Jeffrey Eugenides,Conrad Richter
Jeffrey Eugenides,Cormac McCarthy
Jeffrey Eugenides,Donna Tartt
Jeffrey Eugenides,Edith Wharton
Jeffrey Eugenides,Edna Ferber
Jeffrey Eugenides,Edward P. Jones
Jeffrey Eugenides,Edwin O'Connor
Jeffrey Eugenides,Elizabeth Strout
Jeffrey Eugenides,Ellen Glasgow
Jeffrey Eugenides,Ernest Hemingway
Jeffrey Eugenides,Ernest Poole
Jeffrey Eugenides,Eudora Welty
Jeffrey Eugenides,F. Scott Fitzgerald
Jeffrey Eugenides,Geraldine Brooks
Jeffrey Eugenides,H. L. Davis
Jeffrey Eugenides,Harper Lee
Jeffrey Eugenides,Herman Wouk
Jeffrey Eugenides,James A. Michener
Jeffrey Eugenides,James Agee
Jeffrey Eugenides,James Gould Cozzens
Jeffrey Eugenides,Jane Smiley
Jeffrey Eugenides,Jean Stafford
Jeffrey Eugenides,Jennifer Egan
Jeffrey Eugenides,Jhumpa Lahiri
Jeffrey Eugenides,John Barth
Jeffrey Eugenides,John Cheever
Jeffrey Eugenides,John Hawkes
Jeffrey Eugenides,John Hersey
Jeffrey Eugenides,John Kennedy Toole
Jeffrey Eugenides,John P. Marquand
Jeffrey Eugenides,John Steinbeck
Jeffrey Eugenides,John Updike
Jeffrey Eugenides,Jonathan Franzen
Jeffrey Eugenides,Jonathan Safran Foer
Jeffrey Eugenides,Josephine Winslow Johnson
Jeffrey Eugenides,Julia Peterkin
Jeffrey Eugenides,Katherine Anne Porter
Jeffrey Eugenides,Larry McMurtry
Jeffrey Eugenides,Louis Bromfield
Jeffrey Eugenides,Louise Erdrich
Jeffrey Eugenides,MacKinlay Kantor
Jeffrey Eugenides,Margaret Ayer Barnes
Jeffrey Eugenides,Margaret Mitchell
Jeffrey Eugenides,Margaret Wilson
Jeffrey Eugenides,Marilynne Robinson
Jeffrey Eugenides,Marjorie Kinnan Rawlings
Jeffrey Eugenides,Martin Flavin
Jeffrey Eugenides,Michael Chabon
Jeffrey Eugenides,Michael Cunningham
Jeffrey Eugenides,Michael Shaara
Jeffrey Eugenides,N. Scott Momaday
Jeffrey Eugenides,Norman Mailer
Jeffrey Eugenides,Oliver La Farge
Jeffrey Eugenides,Oscar Hijuelos
Jeffrey Eugenides,Paul Harding
Jeffrey Eugenides,Pearl S. Buck
Jeffrey Eugenides,Philip Roth
Jeffrey Eugenides,Richard Ford
Jeffrey Eugenides,Richard Powers
Jeffrey Eugenides,Richard Russo
Jeffrey Eugenides,Rick Moody
Jeffrey Eugenides,Robert Lewis Taylor
Jeffrey Eugenides,Robert Olen Butler
Jeffrey Eugenides,Robert Penn Warren
Jeffrey Eugenides,Saul Bellow
Jeffrey Eugenides,Shirley Ann Grau
Jeffrey Eugenides,Sinclair Lewis
Jeffrey Eugenides,Steven Millhauser
Jeffrey Eugenides,Thomas Pynchon
Jeffrey Eugenides,T. S. Stribling
Jeffrey Eugenides,Thornton Wilder
Jeffrey Eugenides,Toni Morrison
Jeffrey Eugenides,Upton Sinclair
Jeffrey Eugenides,Wallace Stegner
Jeffrey Eugenides,Willa Cather
Jeffrey Eugenides,William Faulkner
Jeffrey Eugenides,William Kennedy
Jeffrey Eugenides,William Styron
Augusta Jane Evans,Edith Wharton
Augusta Jane Evans,Eudora Welty
Augusta Jane Evans,Harper Lee
Augusta Jane Evans,Zora Neale Hurston
Richard Paul Evans,William Dean Howells
Janet Ayer Fairbank,Janet Ayer Fairbank
Janet Ayer Fairbank,Margaret Ayer Barnes
John Fante,Charles Bukowski
John Fante,Nelson Algren
Richard Fariña,Thomas Pynchon
Philip José Farmer,Alfred Bester
Philip José Farmer,Andre Norton
Philip José Farmer,Anne McCaffrey
Philip José Farmer,Avram Davidson
Philip José Farmer,C. J. Cherryh
Philip José Farmer,Carol Emshwiller
Philip José Farmer,Chelsea Quinn Yarbro
Philip José Farmer,Clifford D. Simak
Philip José Farmer,Connie Willis
Philip José Farmer,Edgar Rice Burroughs
Philip José Farmer,Frank Belknap Long
Philip José Farmer,Frederik Pohl
Philip José Farmer,Fritz Leiber
Philip José Farmer,Gene Wolfe
Philip José Farmer,George R. R. Martin
Philip José Farmer,Hal Clement
Philip José Farmer,Harry Harrison
Philip José Farmer,Herman Melville
Philip José Farmer,Isaac Asimov
Philip José Farmer,Jack Finney
Philip José Farmer,Jack Vance
Philip José Farmer,Jack Williamson
Philip José Farmer,Joe Haldeman
Philip José Farmer,John Crowley
Philip José Farmer,Karen Joy Fowler
Philip José Farmer,Kurt Vonnegut
Philip José Farmer,L. Sprague de Camp
Philip José Farmer,Larry Niven
Philip José Farmer,Lester del Rey
Philip José Farmer,Lloyd Alexander
Philip José Farmer,Madeleine L'Engle
Philip José Farmer,Manly Wade Wellman
Philip José Farmer,Marion Zimmer Bradley
Philip José Farmer,Peter S. Beagle
Philip José Farmer,Peter Straub
Philip José Farmer,Poul Anderson
Philip José Farmer,R. A. Lafferty
Philip José Farmer,Ray Bradbury
Philip José Farmer,Richard Matheson
Philip José Farmer,Robert A. Heinlein
Philip José Farmer,Robert Bloch
Philip José Farmer,Robert Silverberg
Philip José Farmer,Roger Zelazny
Philip José Farmer,Samuel Langhorne Clemens
Philip José Farmer,Samuel R. Delany
Philip José Farmer,Stephen King
Philip José Farmer,Susan Rogers Cooper
Philip José Farmer,Terry Brooks
Philip José Farmer,Theodore Sturgeon
Philip José Farmer,Ursula K. Le Guin
Philip José Farmer,William Gibson
Philip José Farmer,William S. Burroughs
James T. Farrell,Frank Norris
James T. Farrell,Norman Mailer
James T. Farrell,Theodore Dreiser
Howard Fast,Erica Jong
Howard Fast,Mari Sandoz
William Faulkner,A. B. Guthrie Jr.
William Faulkner,Adam Johnson
William Faulkner,Alice Walker
William Faulkner,Alison Lurie
William Faulkner,Allen Drury
William Faulkner,Andrew Sean Greer
William Faulkner,Anne Tyler
William Faulkner,Annie Proulx
William Faulkner,Bernard Malamud
William Faulkner,Booth Tarkington
William Faulkner,Carol Shields
William Faulkner,Caroline Pafford Miller
William Faulkner,Colson Whitehead
William Faulkner,Conrad Richter
William Faulkner,Cormac McCarthy
William Faulkner,Donna Tartt
William Faulkner,Edith Wharton
William Faulkner,Edna Ferber
William Faulkner,Edward P. Jones
William Faulkner,Edwin O'Connor
William Faulkner,Elizabeth Strout
William Faulkner,Ellen Glasgow
William Faulkner,Ellery Queen
William Faulkner,Ernest Hemingway
William Faulkner,Ernest Poole
William Faulkner,Eudora Welty
William Faulkner,F. Scott Fitzgerald
William Faulkner,Flannery O'Connor
William Faulkner,Geraldine Brooks
William Faulkner,H. L. Davis
William Faulkner,Harper Lee
William Faulkner,Herman Wouk
William Faulkner,Isaac Bashevis Singer
William Faulkner,J. F. Powers
William Faulkner,James A. Michener
William Faulkner,James Agee
William Faulkner,James Gould Cozzens
William Faulkner,James Jones
William Faulkner,Jane Smiley
William Faulkner,Jay Parini
William Faulkner,Jean Stafford
William Faulkner,Jeffrey Eugenides
William Faulkner,Jennifer Egan
William Faulkner,Jhumpa Lahiri
William Faulkner,John Barth
William Faulkner,John Cheever
William Faulkner,John Williams
William Faulkner,John Hersey
William Faulkner,John Kennedy Toole
William Faulkner,John O'Hara
William Faulkner,John P. Marquand
William Faulkner,John Steinbeck
William Faulkner,John Updike
William Faulkner,Josephine Winslow Johnson
William Faulkner,Joyce Carol Oates
William Faulkner,Julia Peterkin
William Faulkner,Katherine Anne Porter
William Faulkner,Larry McMurtry
William Faulkner,Louis Bromfield
William Faulkner,Louise Erdrich
William Faulkner,MacKinlay Kantor
William Faulkner,Margaret Ayer Barnes
William Faulkner,Margaret Mitchell
William Faulkner,Margaret Wilson
William Faulkner,Marilynne Robinson
William Faulkner,Marjorie Kinnan Rawlings
William Faulkner,Martin Flavin
William Faulkner,Michael Chabon
William Faulkner,Michael Cunningham
William Faulkner,Michael Shaara
William Faulkner,N. Scott Momaday
William Faulkner,Nelson Algren
William Faulkner,Norman Mailer
William Faulkner,Oliver La Farge
William Faulkner,Oscar Hijuelos
William Faulkner,Paul Harding
William Faulkner,Pearl S. Buck
William Faulkner,Philip Roth
William Faulkner,Ralph Ellison
William Faulkner,Richard Ford
William Faulkner,Richard Powers
William Faulkner,Richard Russo
William Faulkner,Robert Lewis Taylor
William Faulkner,Robert Olen Butler
William Faulkner,Robert Penn Warren
William Faulkner,Saul Bellow
William Faulkner,Sherwood Anderson
William Faulkner,Shirley Ann Grau
William Faulkner,Sinclair Lewis
William Faulkner,Steven Millhauser
William Faulkner,Thomas Pynchon
William Faulkner,T. S. Stribling
William Faulkner,Thornton Wilder
William Faulkner,Toni Morrison
William Faulkner,Upton Sinclair
William Faulkner,Walker Percy
William Faulkner,Wallace Stegner
William Faulkner,Willa Cather
William Faulkner,William Kennedy
William Faulkner,William Styron
William Faulkner,Wright Morris
Jessie Redmon Fauset,Arna Bontemps
Jessie Redmon Fauset,Charles R. Johnson
Jessie Redmon Fauset,Jean Toomer
Jessie Redmon Fauset,Langston Hughes
Jessie Redmon Fauset,Nella Larsen
Kenneth Fearing,Edward Dahlberg
Kenneth Fearing,Ernest Hemingway
Raymond Federman,Al Young
Raymond Federman,Alice McDermott
Raymond Federman,Amiri Baraka
Raymond Federman,Ana Castillo
Raymond Federman,Chang-Rae Lee
Raymond Federman,Chitra Banerjee Divakaruni
Raymond Federman,Don DeLillo
Raymond Federman,Edwidge Danticat
Raymond Federman,Gary Soto
Raymond Federman,Gerald Vizenor
Raymond Federman,Gloria Anzaldúa
Raymond Federman,Gloria Naylor
Raymond Federman,Isabel Allende
Raymond Federman,J. California Cooper
Raymond Federman,Jessica Hagedorn
Raymond Federman,John A. Williams
Raymond Federman,John Edgar Wideman
Raymond Federman,Josip Novakovich
Raymond Federman,Karen Tei Yamashita
Raymond Federman,Leslie Marmon Silko
Raymond Federman,Louise Erdrich
Raymond Federman,Luís Alberto Urrea
Raymond Federman,May Sarton
Raymond Federman,Paule Marshall
Raymond Federman,Ronald Sukenick
Raymond Federman,Rudolfo Anaya
Raymond Federman,Russell Banks
Raymond Federman,Sandra Cisneros
Raymond Federman,Sandra Scofield
Raymond Federman,Sherman Alexie
Raymond Federman,Terry McMillan
Raymond Federman,Toni Cade Bambara
Raymond Federman,Toni Morrison
Raymond Federman,Trey Ellis
Raymond Federman,William H. Gass
Raymond Federman,William Kennedy
Raymond E. Feist,Andre Norton
Raymond E. Feist,Ben Bova
Raymond E. Feist,David Brin
Raymond E. Feist,George R. R. Martin
Raymond E. Feist,Greg Bear
Raymond E. Feist,Marion Zimmer Bradley
Raymond E. Feist,Poul Anderson
Raymond E. Feist,Raymond E. Feist
Raymond E. Feist,Robert Asprin
Raymond E. Feist,Robert Silverberg
Raymond E. Feist,Ron Goulart
Edna Ferber,A. B. Guthrie Jr.
Edna Ferber,Adam Johnson
Edna Ferber,Alice Walker
Edna Ferber,Alison Lurie
Edna Ferber,Allen Drury
Edna Ferber,Andrew Sean Greer
Edna Ferber,Anne Tyler
Edna Ferber,Annie Proulx
Edna Ferber,Bernard Malamud
Edna Ferber,Booth Tarkington
Edna Ferber,Carol Shields
Edna Ferber,Caroline Pafford Miller
Edna Ferber,Colson Whitehead
Edna Ferber,Conrad Richter
Edna Ferber,Cormac McCarthy
Edna Ferber,Donna Tartt
Edna Ferber,Edith Wharton
Edna Ferber,Edward P. Jones
Edna Ferber,Edwin O'Connor
Edna Ferber,Elizabeth Strout
Edna Ferber,Ellen Glasgow
Edna Ferber,Ernest Hemingway
Edna Ferber,Ernest Poole
Edna Ferber,Eudora Welty
Edna Ferber,Geraldine Brooks
Edna Ferber,H. L. Davis
Edna Ferber,Harper Lee
Edna Ferber,Harriette Simpson Arnow
Edna Ferber,Herman Wouk
Edna Ferber,James A. Michener
Edna Ferber,James Agee
Edna Ferber,James Gould Cozzens
Edna Ferber,Jane Smiley
Edna Ferber,Jean Stafford
Edna Ferber,Jeffrey Eugenides
Edna Ferber,Jennifer Egan
Edna Ferber,Jhumpa Lahiri
Edna Ferber,John Cheever
Edna Ferber,John Hersey
Edna Ferber,John Kennedy Toole
Edna Ferber,John P. Marquand
Edna Ferber,John Steinbeck
Edna Ferber,John Updike
Edna Ferber,Josephine Winslow Johnson
Edna Ferber,Julia Peterkin
Edna Ferber,Katherine Anne Porter
Edna Ferber,Larry McMurtry
Edna Ferber,Louis Bromfield
Edna Ferber,Louise Erdrich
Edna Ferber,MacKinlay Kantor
Edna Ferber,Margaret Ayer Barnes
Edna Ferber,Margaret Mitchell
Edna Ferber,Margaret Wilson
Edna Ferber,Marge Piercy
Edna Ferber,Marilynne Robinson
Edna Ferber,Marjorie Kinnan Rawlings
Edna Ferber,Martin Flavin
Edna Ferber,Michael Chabon
Edna Ferber,Michael Cunningham
Edna Ferber,Michael Shaara
Edna Ferber,N. Scott Momaday
Edna Ferber,Norman Mailer
Edna Ferber,Oliver La Farge
Edna Ferber,Oscar Hijuelos
Edna Ferber,Paul Harding
Edna Ferber,Pearl S. Buck
Edna Ferber,Philip Roth
Edna Ferber,Richard Ford
Edna Ferber,Richard Powers
Edna Ferber,Richard Russo
Edna Ferber,Robert Lewis Taylor
Edna Ferber,Robert Olen Butler
Edna Ferber,Robert Penn Warren
Edna Ferber,Saul Bellow
Edna Ferber,Shirley Ann Grau
Edna Ferber,Sinclair Lewis
Edna Ferber,Steven Millhauser
Edna Ferber,Terry McMillan
Edna Ferber,T. S. Stribling
Edna Ferber,Thornton Wilder
Edna Ferber,Toni Morrison
Edna Ferber,Upton Sinclair
Edna Ferber,Wallace Stegner
Edna Ferber,Willa Cather
Edna Ferber,William Faulkner
Edna Ferber,William Kennedy
Edna Ferber,William Styron
Jack Finney,Andre Norton
Jack Finney,Avram Davidson
Jack Finney,Carol Emshwiller
Jack Finney,Chelsea Quinn Yarbro
Jack Finney,Frank Belknap Long
Jack Finney,Fritz Leiber
Jack Finney,Gene Wolfe
Jack Finney,George R. R. Martin
Jack Finney,Jack Vance
Jack Finney,Jack Williamson
Jack Finney,John Crowley
Jack Finney,Karen Joy Fowler
Jack Finney,L. Sprague de Camp
Jack Finney,Lloyd Alexander
Jack Finney,Madeleine L'Engle
Jack Finney,Manly Wade Wellman
Jack Finney,Marion Zimmer Bradley
Jack Finney,Peter S. Beagle
Jack Finney,Peter Straub
Jack Finney,Philip José Farmer
Jack Finney,R. A. Lafferty
Jack Finney,Ray Bradbury
Jack Finney,Richard Matheson
Jack Finney,Robert Bloch
Jack Finney,Stephen King
Jack Finney,Susan Rogers Cooper
Jack Finney,Terry Brooks
Jack Finney,Theodore Sturgeon
Jack Finney,Ursula K. Le Guin
Dorothy Canfield Fisher,Richard Wright
Dorothy Canfield Fisher,Willa Cather
Vardis Fisher,Thomas Wolfe
Vardis Fisher,Wallace Stegner
F. Scott Fitzgerald,Budd Schulberg
F. Scott Fitzgerald,Charles R. Jackson
F. Scott Fitzgerald,Edith Wharton
F. Scott Fitzgerald,Ernest Hemingway
F. Scott Fitzgerald,George R. Stewart
F. Scott Fitzgerald,Gertrude Stein
F. Scott Fitzgerald,Henry James
F. Scott Fitzgerald,J. D. Salinger
F. Scott Fitzgerald,John O'Hara
F. Scott Fitzgerald,Mark Twain
F. Scott Fitzgerald,Richard Yates
F. Scott Fitzgerald,F. Scott Fitzgerald
F. Scott Fitzgerald,Willa Cather
Louise Fitzhugh,Sandra Scoppettone
Martin Flavin,A. B. Guthrie Jr.
Martin Flavin,Adam Johnson
Martin Flavin,Alice Walker
Martin Flavin,Alison Lurie
Martin Flavin,Allen Drury
Martin Flavin,Andrew Sean Greer
Martin Flavin,Anne Tyler
Martin Flavin,Annie Proulx
Martin Flavin,Bernard Malamud
Martin Flavin,Booth Tarkington
Martin Flavin,Carol Shields
Martin Flavin,Caroline Pafford Miller
Martin Flavin,Colson Whitehead
Martin Flavin,Conrad Richter
Martin Flavin,Cormac McCarthy
Martin Flavin,Donna Tartt
Martin Flavin,Edith Wharton
Martin Flavin,Edna Ferber
Martin Flavin,Edward P. Jones
Martin Flavin,Edwin O'Connor
Martin Flavin,Elizabeth Strout
Martin Flavin,Ellen Glasgow
Martin Flavin,Ernest Hemingway
Martin Flavin,Ernest Poole
Martin Flavin,Ernest Tidyman
Martin Flavin,Eudora Welty
Martin Flavin,Geraldine Brooks
Martin Flavin,H. L. Davis
Martin Flavin,Harper Lee
Martin Flavin,Harry Brown
Martin Flavin,Herman Wouk
Martin Flavin,James A. Michener
Martin Flavin,James Agee
Martin Flavin,James Gould Cozzens
Martin Flavin,Jane Smiley
Martin Flavin,Jean Stafford
Martin Flavin,Jeffrey Eugenides
